area,rooms,floor,total_floors,year,price
25.1,1,5,9,1981,3662000.0
55.1,2,8,9,1997,7483000.0
43.9,2,2,9,1995,6351000.0
83.0,3,1,9,1978,11515000.0
26.4,1,3,5,1966,3949000.0
33.6,1,8,12,2010,4800000.0
34.5,1,2,12,2002,5002000.0
78.9,3,1,5,1984,7769000.0
37.8,1,7,9,1976,5131000.0
71.7,2,18,25,2000,10083000.0
29.0,1,8,9,1998,3706000.0
47.8,1,1,5,1965,5742000.0
86.6,3,7,9,1988,10494000.0
69.2,2,4,25,2003,8990000.0
75.3,3,9,9,1990,9342000.0
48.2,2,4,12,2009,6454000.0
62.0,2,12,17,2024,9202000.0
25.7,1,4,9,1979,3848000.0
64.2,2,14,17,2010,8496000.0
35.9,1,8,9,1975,4796000.0
61.6,2,8,12,2016,8375000.0
70.8,2,7,12,2013,9119000.0
79.3,3,10,12,2006,10564000.0
48.3,2,5,5,1973,6992000.0
57.1,2,8,17,2000,8333000.0
30.6,1,7,9,1980,4099000.0
41.0,1,5,5,1966,4425000.0
35.6,1,4,5,1970,4184000.0
51.5,2,4,12,2009,6160000.0
101.9,4,12,12,2020,15675000.0
28.0,1,2,5,1962,3380000.0
36.7,1,11,12,2018,5611000.0
58.6,2,8,9,1976,7284000.0
86.3,3,9,12,2011,14299000.0
53.4,2,4,5,1971,6545000.0
49.7,1,4,12,2000,6808000.0
106.5,4,5,9,1988,15128000.0
73.1,3,18,25,2010,9849000.0
33.8,1,5,5,1967,3214000.0
62.6,3,6,9,1983,6458000.0
56.2,2,4,5,1977,6746000.0
52.5,2,24,25,2012,7679000.0
52.1,2,8,17,2003,7727000.0
79.4,3,5,9,1990,9055000.0
45.9,2,12,12,2002,5817000.0
29.1,1,16,17,2003,3782000.0
107.3,4,3,12,2003,15300000.0
24.6,1,1,12,2007,3591000.0
58.8,2,9,9,1985,8477000.0
57.9,2,1,5,1962,6145000.0
33.6,1,3,17,2018,5986000.0
20.0,1,20,25,2005,2654000.0
73.0,3,7,12,2002,9854000.0
54.3,2,2,9,1995,6433000.0
58.3,2,3,9,1978,7579000.0
60.7,2,16,17,2003,8556000.0
66.6,2,17,17,2001,6490000.0
57.3,2,15,17,2015,9155000.0
44.7,1,1,17,2024,6710000.0
44.5,2,2,12,2004,5784000.0
84.9,3,1,5,1974,9179000.0
52.3,2,2,5,1964,5119000.0
39.2,1,9,17,2022,5517000.0
81.6,3,9,12,2011,13049000.0
72.2,3,5,5,1978,7222000.0
36.0,1,3,5,1974,4488000.0
108.8,4,5,12,2005,12109000.0
68.3,2,2,5,1960,7965000.0
32.5,1,2,5,1964,4076000.0
39.7,1,11,12,2020,6442000.0
55.6,2,8,12,2024,8666000.0
64.2,3,6,12,2020,10414000.0
45.8,1,8,9,1998,5993000.0
30.5,1,2,17,2018,4095000.0
54.5,1,3,9,1985,6718000.0
49.6,2,7,9,1996,5713000.0
45.7,1,10,17,2013,6782000.0
44.2,1,12,12,2013,6097000.0
52.4,2,17,17,2001,7089000.0
80.9,3,7,12,2024,9777000.0
55.7,2,6,12,2021,8189000.0
49.1,2,4,5,1964,6335000.0
59.5,2,3,9,1983,7912000.0
63.4,2,3,9,1991,6694000.0
94.7,4,4,9,1993,11637000.0
86.0,3,25,25,2014,10500000.0
40.8,1,9,9,1976,4879000.0
55.3,2,13,17,2008,7440000.0
58.8,2,2,12,2010,9733000.0
67.0,2,16,17,2021,9947000.0
54.8,2,1,12,2005,7031000.0
76.7,3,4,12,2014,10590000.0
84.7,3,2,9,1995,11383000.0
69.3,2,4,5,1979,8374000.0
82.7,3,16,17,2003,11821000.0
68.0,3,5,9,1989,8169000.0
89.5,3,3,5,1977,12064000.0
104.4,4,4,12,2006,14234000.0
36.2,1,5,5,1975,4238000.0
45.8,1,21,25,2021,7543000.0
79.1,3,21,25,2002,10967000.0
75.9,3,19,25,2011,11262000.0
88.6,3,7,9,1981,10783000.0
37.2,1,3,5,1968,4395000.0
58.3,2,18,25,2009,8298000.0
50.5,1,3,9,1975,6003000.0
65.1,2,11,25,2011,10118000.0
39.7,1,3,25,2025,7023000.0
34.6,1,8,17,2023,5603000.0
40.1,1,4,9,1992,6182000.0
59.6,2,3,9,1975,8041000.0
58.9,2,10,17,2024,8535000.0
37.3,1,5,9,1992,5457000.0
34.5,1,4,5,1982,3886000.0
44.7,1,9,12,2006,6519000.0
76.0,3,8,25,2016,9367000.0
36.0,1,11,12,2012,5222000.0
21.0,1,7,12,2009,2605000.0
84.1,3,5,5,1973,10308000.0
50.9,2,5,12,2000,6618000.0
62.0,2,20,25,2022,9992000.0
48.0,2,1,5,1965,4957000.0
74.6,3,6,12,2003,8072000.0
35.6,1,15,17,2018,5087000.0
93.9,4,8,17,2014,11925000.0
77.4,3,7,12,2020,10971000.0
49.2,2,2,17,2020,8303000.0
64.1,2,7,9,1993,9833000.0
61.6,2,6,9,1996,8010000.0
32.5,1,5,17,2011,4149000.0
44.9,1,1,17,2013,5507000.0
100.1,4,15,17,2002,13404000.0
51.9,2,23,25,2003,7036000.0
46.7,2,10,12,2002,5370000.0
56.6,3,3,12,2011,7366000.0
67.7,2,5,17,2021,11273000.0
30.0,1,8,12,2008,4457000.0
54.1,2,13,17,2018,7909000.0
53.2,2,8,17,2015,7354000.0
42.8,1,2,17,2000,5703000.0
106.3,4,9,9,1988,12818000.0
38.8,1,1,9,1987,4679000.0
43.3,2,3,5,1982,5840000.0
26.4,1,2,12,2011,4067000.0
66.9,2,5,5,1964,7327000.0
47.4,2,1,9,1994,5846000.0
60.7,2,12,12,2002,7404000.0
80.1,3,4,9,1997,10315000.0
28.8,1,4,12,2001,4581000.0
59.1,3,5,5,1970,6444000.0
48.6,2,5,5,1979,5579000.0
102.1,4,8,17,2001,13265000.0
56.6,2,3,9,1990,6486000.0
31.3,1,4,5,1967,3854000.0
26.7,1,12,12,2002,4178000.0
72.3,3,1,17,2020,8490000.0
76.9,3,9,9,1978,8928000.0
30.0,1,11,12,2020,4529000.0
62.9,2,4,5,1963,7166000.0
62.5,2,2,5,1967,7248000.0
105.7,4,12,12,2005,13918000.0
68.8,3,11,12,2013,8460000.0
100.3,4,4,12,2014,14378000.0
82.1,3,6,17,2016,11555000.0
79.7,3,25,25,2004,8309000.0
47.6,1,9,12,2000,6901000.0
84.3,3,4,9,1986,10521000.0
56.8,2,10,17,2018,7545000.0
97.6,4,5,9,1986,11833000.0
64.5,2,9,9,1985,6752000.0
42.7,1,2,5,1981,5116000.0
66.6,2,2,5,1968,7842000.0
60.9,2,21,25,2018,7368000.0
30.1,1,1,17,2003,3390000.0
62.2,2,8,12,2012,7955000.0
59.8,2,5,9,1984,7615000.0
62.9,2,4,5,1960,7408000.0
53.3,2,2,5,1969,5722000.0
26.3,1,2,9,1992,3214000.0
79.8,3,12,12,2012,10575000.0
68.0,3,9,17,2006,9235000.0
40.9,1,2,12,2007,5468000.0
76.9,3,7,9,1991,11473000.0
51.4,2,24,25,2024,7794000.0
46.6,1,14,17,2021,6958000.0
53.8,2,11,12,2000,7001000.0
59.9,2,7,12,2015,9484000.0
52.6,2,1,9,1994,6588000.0
78.4,3,4,9,1978,7710000.0
61.9,2,7,9,1997,7698000.0
34.1,1,16,17,2016,4854000.0
99.8,4,1,5,1972,10042000.0
43.6,1,5,5,1969,5354000.0
43.8,2,1,5,1968,4130000.0
42.7,1,3,5,1973,5251000.0
45.4,1,6,17,2016,7914000.0
50.1,2,3,17,2025,7510000.0
24.8,1,5,9,1977,2915000.0
46.6,2,1,5,1960,4100000.0
31.5,1,3,9,1975,3750000.0
50.8,2,5,9,1994,5981000.0
63.2,2,2,5,1961,6882000.0
39.0,1,5,9,1990,5504000.0
80.0,3,9,9,1983,9288000.0
42.2,1,11,12,2013,5916000.0
42.4,1,12,12,2000,4619000.0
69.3,2,2,5,1962,8552000.0
65.0,2,4,9,1992,8205000.0
39.9,2,1,12,2000,4913000.0
37.8,1,10,12,2010,4998000.0
79.1,3,1,17,2024,9842000.0
69.3,2,6,12,2004,8984000.0
34.4,1,4,5,1970,3644000.0
60.1,2,2,5,1965,6318000.0
91.7,3,10,12,2023,13149000.0
59.5,2,1,5,1966,6407000.0
30.9,1,10,12,2012,4222000.0
46.3,2,20,25,2022,6019000.0
32.5,1,9,12,2015,4651000.0
55.7,2,1,9,1999,7284000.0
87.9,3,9,12,2002,10524000.0
63.9,2,8,9,1989,8264000.0
54.5,2,5,12,2007,7091000.0
68.8,3,6,25,2021,10911000.0
51.4,2,7,9,1998,6550000.0
72.8,2,20,25,2019,11338000.0
31.6,1,14,25,2015,5166000.0
63.1,2,3,5,1976,8872000.0
62.0,2,3,5,1972,6410000.0
56.2,2,5,5,1962,5232000.0
92.1,4,4,5,1962,10968000.0
80.6,3,2,5,1972,10264000.0
69.1,2,5,12,2016,9361000.0
46.8,2,3,5,1973,3802000.0
57.0,2,7,9,1979,7097000.0
42.2,1,4,17,2011,5229000.0
49.3,1,1,5,1975,5092000.0
62.7,3,6,17,2005,8539000.0
63.4,2,7,9,1983,8226000.0
88.6,3,3,5,1975,12045000.0
44.5,1,8,12,2023,6558000.0
55.2,2,3,12,2003,6827000.0
57.3,2,6,17,2005,8644000.0
65.3,2,2,17,2018,9860000.0
86.9,3,14,17,2000,10974000.0
108.7,4,9,9,1999,13073000.0
26.2,1,2,5,1967,3037000.0
37.2,1,12,17,2005,5671000.0
38.2,1,13,17,2002,6288000.0
63.1,2,12,25,2020,8582000.0
58.7,2,2,9,1988,7866000.0
59.1,2,9,9,1999,6410000.0
54.6,2,17,17,2022,6843000.0
50.8,2,5,9,1976,6537000.0
74.6,3,16,25,2015,10313000.0
64.4,2,17,17,2021,8007000.0
60.9,2,5,9,1987,7804000.0
38.9,1,8,17,2024,6502000.0
56.3,2,11,17,2015,6925000.0
63.4,2,2,5,1970,8821000.0
67.7,2,8,25,2010,10093000.0
70.2,3,12,12,2015,9836000.0
74.6,3,1,17,2009,9127000.0
91.7,3,7,9,1991,13586000.0
54.3,2,13,17,2011,8427000.0
57.5,2,6,9,1979,6841000.0
50.5,2,5,5,1984,6520000.0
43.4,1,17,25,2011,5875000.0
52.8,1,1,5,1962,5430000.0
30.8,1,6,9,1993,4789000.0
46.6,1,7,25,2009,7015000.0
53.0,2,1,25,2015,7314000.0
110.1,4,9,12,2024,17142000.0
32.5,1,4,12,2018,5148000.0
62.9,3,5,9,1985,7100000.0
52.5,1,2,9,1999,8516000.0
35.0,1,8,9,1990,4927000.0
47.3,2,2,12,2009,7032000.0
59.2,2,15,17,2014,8528000.0
41.6,1,12,17,2002,6510000.0
48.1,1,15,17,2023,8772000.0
55.5,2,1,5,1969,5667000.0
34.5,1,2,9,1986,5021000.0
53.0,2,4,5,1968,6239000.0
57.3,2,4,12,2018,6672000.0
44.3,1,7,9,1975,4765000.0
78.5,3,6,17,2012,11259000.0
33.4,1,9,9,1999,4860000.0
59.5,2,1,5,1966,6601000.0
69.0,3,2,5,1981,8966000.0
100.0,4,4,17,2019,17217000.0
54.8,2,1,12,2020,7614000.0
42.4,2,2,5,1966,4796000.0
47.1,1,2,5,1984,6063000.0
59.8,2,8,17,2005,9614000.0
57.1,2,2,5,1971,5933000.0
56.8,2,16,17,2003,8748000.0
77.7,3,4,17,2019,11006000.0
32.8,1,1,5,1969,3292000.0
84.4,3,4,5,1978,8589000.0
61.4,3,14,25,2001,9276000.0
56.4,2,8,9,1978,6340000.0
50.8,2,9,9,1989,6272000.0
56.3,2,3,17,2005,7021000.0
90.6,4,5,25,2000,13738000.0
40.8,1,6,25,2017,6163000.0
54.9,2,8,17,2007,6618000.0
56.0,2,6,9,1987,6862000.0
82.0,3,4,5,1978,11120000.0
83.3,3,7,17,2015,10465000.0
61.3,2,8,12,2000,7998000.0
38.2,1,3,9,1976,5372000.0
66.6,2,7,25,2018,10023000.0
31.5,1,3,5,1973,3429000.0
77.2,3,8,9,1989,9868000.0
53.7,2,1,5,1961,5395000.0
72.8,3,1,9,1987,8163000.0
49.6,2,2,5,1979,6706000.0
64.6,2,1,5,1979,7354000.0
40.6,1,4,5,1970,4916000.0
35.0,1,4,12,2009,5000000.0
42.2,1,6,17,2001,6556000.0
62.6,2,12,12,2016,7968000.0
50.4,1,21,25,2002,5560000.0
49.5,2,1,9,1978,5354000.0
57.9,2,6,9,1996,7998000.0
68.6,2,9,17,2004,9047000.0
54.8,1,3,9,1976,6527000.0
39.5,1,11,25,2003,5383000.0
41.0,1,3,5,1971,5023000.0
39.9,2,14,25,2005,4798000.0
38.2,1,2,5,1979,5191000.0
75.9,3,4,17,2014,7724000.0
81.5,3,10,12,2006,11538000.0
48.4,1,19,25,2005,7118000.0
56.8,2,4,5,1981,7432000.0
58.1,2,2,12,2025,7009000.0
54.0,2,17,25,2013,7931000.0
24.0,1,3,12,2017,3395000.0
32.4,1,10,12,2006,5382000.0
26.1,1,6,12,2024,4155000.0
46.7,2,9,9,1980,4857000.0
82.4,3,11,12,2023,9832000.0
47.5,2,5,12,2005,6160000.0
76.3,3,15,25,2005,11035000.0
52.5,1,3,5,1979,7463000.0
33.3,1,5,9,1996,4657000.0
48.7,2,21,25,2009,6894000.0
51.0,1,12,17,2003,6973000.0
33.1,1,7,9,1984,4306000.0
53.1,2,5,12,2021,8767000.0
45.7,1,7,9,1975,5520000.0
51.7,2,1,5,1982,6210000.0
32.1,1,5,9,1988,4034000.0
50.1,2,2,9,1992,7220000.0
82.2,3,5,12,2021,12392000.0
27.4,1,4,5,1968,3639000.0
83.3,3,20,25,2009,13456000.0
59.4,2,2,25,2018,6412000.0
72.6,3,10,12,2003,10358000.0
37.7,1,3,12,2020,5972000.0
52.4,2,9,9,1998,6981000.0
52.1,2,8,17,2012,7583000.0
65.3,3,8,12,2009,9091000.0
51.4,2,1,5,1972,5717000.0
56.6,2,6,25,2021,9087000.0
75.2,3,12,17,2011,11157000.0
61.6,2,25,25,2023,8659000.0
36.5,1,17,17,2002,4792000.0
40.2,2,2,12,2018,5861000.0
58.9,2,2,9,1983,7102000.0
50.4,2,23,25,2012,8438000.0
58.0,2,11,17,2021,7453000.0
89.4,4,2,5,1967,10504000.0
65.0,2,1,5,1963,7196000.0
40.5,1,7,9,1995,5245000.0
33.5,1,13,17,2008,4978000.0
109.4,4,13,25,2006,16004000.0
48.6,2,1,5,1980,5248000.0
73.0,3,4,12,2022,11813000.0
45.5,1,4,9,1985,6624000.0
35.5,2,24,25,2024,4911000.0
56.4,2,4,17,2014,7184000.0
38.6,1,4,17,2012,5755000.0
55.0,2,2,9,1977,5896000.0
65.0,2,7,9,1977,5644000.0
67.2,2,4,9,1994,8435000.0
82.0,3,3,5,1970,11446000.0
68.5,3,6,17,2025,9468000.0
80.5,3,3,17,2022,11953000.0
92.0,3,7,25,2020,13975000.0
57.4,2,6,25,2004,7867000.0
54.0,2,3,12,2019,7625000.0
70.4,3,4,17,2023,11351000.0
58.3,2,10,25,2018,8517000.0
36.0,1,9,17,2011,5211000.0
41.9,2,6,9,1992,5920000.0
44.0,1,4,9,1978,5008000.0
47.1,2,3,5,1967,4804000.0
53.2,1,11,25,2013,6561000.0
37.6,1,7,12,2015,5897000.0
100.2,4,2,9,1994,12177000.0
78.2,3,4,12,2007,11418000.0
78.3,3,5,12,2004,10485000.0
55.9,2,4,9,1983,6067000.0
64.9,3,4,5,1961,6869000.0
86.7,3,11,12,2007,12741000.0
58.7,2,9,12,2006,7931000.0
109.0,4,14,17,2017,16546000.0
27.9,1,11,12,2020,4030000.0
71.3,3,2,17,2021,10892000.0
55.8,2,6,12,2008,6414000.0
50.6,2,8,12,2010,6973000.0
40.0,1,7,17,2011,5617000.0
53.3,2,4,9,1982,5741000.0
59.8,2,5,5,1982,7904000.0
98.7,4,2,5,1976,10536000.0
108.6,4,6,17,2025,14066000.0
108.7,4,11,12,2018,16734000.0
40.6,1,6,17,2000,5763000.0
101.1,4,2,9,1996,13580000.0
65.3,2,3,5,1962,6173000.0
83.5,3,3,5,1973,8935000.0
34.9,1,9,9,1992,5411000.0
54.8,2,8,12,2025,8890000.0
101.2,4,9,9,1976,9788000.0
78.4,3,9,9,1982,9231000.0
45.5,2,22,25,2016,5915000.0
72.4,3,2,9,1983,10044000.0
48.4,1,12,12,2011,5192000.0
66.5,2,13,17,2006,9480000.0
54.8,2,7,9,1975,6818000.0
59.6,1,9,12,2020,8015000.0
41.4,1,10,17,2020,6094000.0
37.0,1,10,25,2013,5653000.0
62.5,2,2,5,1961,5825000.0
33.1,1,14,25,2016,4301000.0
51.8,2,6,9,1981,6356000.0
56.7,2,6,9,1989,6713000.0
59.9,2,9,9,1983,6826000.0
54.7,2,13,25,2007,7605000.0
66.2,2,9,9,1981,7125000.0
80.6,2,5,9,1978,9884000.0
52.5,2,5,12,2009,7593000.0
44.7,2,9,9,1981,5705000.0
78.6,3,3,5,1974,8040000.0
36.4,1,1,5,1972,3788000.0
41.1,1,3,5,1967,5243000.0
52.6,2,2,5,1968,5256000.0
60.9,2,2,5,1968,7220000.0
79.6,3,8,12,2004,10634000.0
42.7,1,1,5,1980,3648000.0
57.9,2,3,9,1980,6829000.0
32.4,1,17,17,2015,4719000.0
58.8,2,6,9,1990,7466000.0
29.7,1,12,12,2023,4114000.0
63.9,3,3,5,1973,7548000.0
99.6,4,3,5,1978,12598000.0
67.6,2,4,5,1978,8758000.0
89.4,3,1,5,1975,8731000.0
45.6,2,3,9,1979,4811000.0
107.4,4,1,5,1960,10738000.0
90.9,3,3,5,1964,8932000.0
30.9,1,5,5,1968,3366000.0
65.5,2,7,9,1995,8856000.0
46.3,2,5,9,1981,6433000.0
35.8,1,1,9,1984,4741000.0
41.1,1,11,12,2024,6353000.0
68.7,3,8,12,2023,9363000.0
88.6,3,2,5,1974,9109000.0
78.5,3,8,17,2020,13327000.0
107.0,4,10,12,2011,13769000.0
69.4,3,4,5,1972,8578000.0
48.8,1,10,17,2017,7443000.0
38.9,1,13,25,2020,5595000.0
41.3,1,2,5,1969,4753000.0
39.7,1,2,9,1998,4738000.0
41.3,1,10,17,2000,6416000.0
61.7,2,17,17,2025,8655000.0
73.9,3,4,5,1963,9362000.0
67.4,3,5,9,1991,8119000.0
50.1,2,3,9,1995,6442000.0
76.2,3,2,9,1987,8374000.0
69.2,2,6,12,2001,9113000.0
75.9,3,8,9,1989,8313000.0
68.3,2,7,9,1986,9056000.0
37.6,1,17,17,2001,5064000.0
88.3,3,4,5,1966,11396000.0
59.6,2,3,9,1978,6260000.0
60.0,2,9,17,2013,9603000.0
45.9,1,15,17,2017,6194000.0
59.1,2,12,12,2010,8189000.0
107.1,4,9,12,2002,12117000.0
40.0,1,5,5,1962,4558000.0
81.6,3,9,9,1992,7354000.0
28.1,1,7,12,2022,3997000.0
67.5,2,5,9,1975,8272000.0
48.4,1,8,9,1987,7517000.0
74.4,3,7,9,1999,7643000.0
36.3,1,1,5,1964,3878000.0
70.4,2,1,9,1978,7386000.0
34.5,1,9,9,1977,3346000.0
42.3,1,7,9,1993,5091000.0
77.3,3,1,5,1972,7673000.0
28.8,1,1,17,2015,4026000.0
39.1,1,5,12,2018,5923000.0
30.2,1,8,12,2000,3665000.0
67.9,2,9,17,2017,8037000.0
57.3,2,6,9,1981,7440000.0
30.8,1,4,5,1962,3550000.0
46.0,1,10,12,2021,8113000.0
45.6,2,12,12,2019,6105000.0
25.9,1,8,17,2009,4182000.0
91.1,3,6,9,1995,12325000.0
86.1,3,3,5,1967,10531000.0
56.0,2,6,9,1976,7117000.0
41.2,1,4,9,1984,5615000.0
49.4,2,11,12,2020,5584000.0
80.9,3,5,12,2017,11083000.0
49.5,2,2,9,1986,5891000.0
72.2,3,3,25,2013,11241000.0
66.5,2,3,12,2024,8910000.0
53.8,2,5,9,1976,6370000.0
32.2,1,5,5,1976,4154000.0
59.0,2,5,5,1979,7131000.0
35.0,1,6,9,1986,4681000.0
77.8,3,2,5,1966,9721000.0
90.6,3,4,5,1974,10861000.0
69.1,3,6,9,1976,7705000.0
69.1,2,4,5,1984,7598000.0
60.5,1,17,17,2011,8805000.0
27.2,1,1,5,1976,2840000.0
49.4,2,3,12,2000,6526000.0
81.3,3,2,9,1982,10917000.0
44.2,2,25,25,2004,5651000.0
38.8,1,5,5,1984,4592000.0
71.7,3,6,9,1982,8448000.0
110.8,4,12,25,2021,14883000.0
56.9,2,11,17,2019,7488000.0
60.9,2,16,17,2013,10148000.0
83.4,3,4,9,1980,9468000.0
60.0,2,1,5,1977,7127000.0
101.0,4,4,12,2004,11687000.0
41.6,1,9,25,2009,6360000.0
49.0,2,1,12,2014,6425000.0
64.0,2,10,12,2002,8757000.0
74.6,3,3,9,1977,8993000.0
81.7,3,9,17,2016,11895000.0
103.1,4,3,5,1973,11332000.0
53.5,2,7,9,1998,7054000.0
74.7,3,4,9,1984,9664000.0
59.1,2,3,12,2018,7618000.0
61.6,2,7,9,1990,6955000.0
41.5,1,3,5,1976,5310000.0
74.6,3,11,12,2019,8429000.0
95.7,4,7,9,1987,9540000.0
33.5,1,4,12,2000,5524000.0
37.4,1,4,5,1960,5028000.0
84.2,3,7,9,1991,10014000.0
61.5,2,11,12,2017,9805000.0
98.0,4,2,5,1976,12332000.0
39.5,1,1,9,1986,4896000.0
27.7,1,4,5,1965,3279000.0
55.3,2,2,5,1966,6827000.0
34.2,1,20,25,2016,5502000.0
33.4,1,8,9,1990,4758000.0
40.5,1,3,17,2000,4781000.0
52.3,1,6,9,1985,8241000.0
38.8,1,6,12,2009,6974000.0
109.6,4,13,17,2024,12361000.0
44.5,1,9,12,2024,7187000.0
56.1,2,9,9,1975,7785000.0
83.8,3,4,9,1985,11327000.0
70.2,2,9,9,1998,9859000.0
51.0,2,15,25,2002,5960000.0
64.1,2,13,17,2022,10221000.0
78.0,3,22,25,2015,11120000.0
74.7,3,2,5,1960,8793000.0
60.9,2,14,17,2006,7575000.0
79.0,3,6,25,2010,9628000.0
73.0,2,2,5,1976,8766000.0
35.1,1,4,5,1978,4284000.0
79.6,3,14,17,2013,10823000.0
60.4,2,11,12,2022,8497000.0
72.4,3,14,17,2015,9878000.0
32.2,1,4,5,1976,3778000.0
55.6,2,16,17,2013,7895000.0
77.8,3,6,9,1983,8124000.0
30.9,1,4,5,1980,4160000.0
85.4,3,1,5,1972,9128000.0
106.9,4,12,17,2001,11886000.0
71.0,3,7,12,2019,11372000.0
53.3,2,8,12,2007,6811000.0
